# generated by build-pictures.mjs — id, group, shipped width, height
cat-01-nimbus	cats	675	900
cat-02-nimbus	cats	1200	625
cat-03-nimbus	cats	1200	900
cat-05-nimbus	cats	675	900
cat-06-ivy	cats	675	900
cat-07-both	cats	1200	900
cat-08-ivy	cats	675	900
hike-01-kalga	journey	1200	900
hike-02-kheerganga	journey	1200	900
hike-03-kashmir	journey	506	900
hike-04-himachal	journey	675	900
hike-05-goa	journey	1200	675
ride-01-kerala	journey	1200	675
ride-02-coorg	journey	923	900
ride-03-ladakh	journey	1200	675
ride-07-goa	journey	506	900
ride-09-tso-moriri	journey	1195	896
ride-11-rann-of-kutch	journey	1200	900
ride-12-hawa-mahal	journey	1200	799
workspace-01	desk	523	900
guitar-01	desk	450	900
portrait-01	portrait	457	800
portrait-02	portrait	675	900
